"Invoice Totals Report
1001 : SewLab USA",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  Date/Time,,Store_ID,,,,Inv #  ,,Cust #,,Cashier ID,PM,Total Cost,Total Price,,Tax1,Tax2,Tax3,Tax4,Tax5,Tax6,,GTotal,Gross,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2017  11:38: AM,,1001,,,,159,101,,,100101,CC,0.00,16.00,,0.96,0.00,0.00,0.00,0.00,0.00,,16.96,16.00,
11/26/2017  11:39: AM,,1001,,,,160,101,,,100101,CC,0.00,35.00,,2.10,0.00,0.00,0.00,0.00,0.00,,37.10,35.00,
11/26/2017  11:51: AM,,1001,,,,161,101,,,100101,CC,0.00,114.00,,6.84,0.00,0.00,0.00,0.00,0.00,,120.84,114.00,
11/26/2017  11:52: AM,,1001,,,,162,101,,,100101,CC,0.00,16.00,,0.96,0.00,0.00,0.00,0.00,0.00,,16.96,16.00,
11/26/2017  12:09: PM,,1001,,,,163,101,,,100101,CC,0.00,16.00,,0.96,0.00,0.00,0.00,0.00,0.00,,16.96,16.00,
11/26/2017  12:21: PM,,1001,,,,164,101,,,100101,CC,0.00,62.00,,3.72,0.00,0.00,0.00,0.00,0.00,,65.72,62.00,
11/26/2017  12:23: PM,,1001,,,,165,101,,,100101,CA,0.00,61.00,,3.66,0.00,0.00,0.00,0.00,0.00,,64.66,61.00,
11/26/2017  12:25: PM,,1001,,,,166,101,,,100101,CC,0.00,24.00,,1.44,0.00,0.00,0.00,0.00,0.00,,25.44,24.00,
11/26/2017  1:02: PM,,1001,,,,167,101,,,100101,CC,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
11/26/2017  1:26: PM,,1001,,,,168,101,,,100101,CC,0.00,14.00,,0.84,0.00,0.00,0.00,0.00,0.00,,14.84,14.00,
11/26/2017  1:48: PM,,1001,,,,169,101,,,100101,CC,0.00,67.50,,4.05,0.00,0.00,0.00,0.00,0.00,,71.55,67.50,
11/26/2017  2:25: PM,,1001,,,,170,101,,,100101,CC,0.00,24.00,,1.44,0.00,0.00,0.00,0.00,0.00,,25.44,24.00,
11/26/2017  2:32: PM,,1001,,,,171,101,,,100101,CC,0.00,31.00,,1.86,0.00,0.00,0.00,0.00,0.00,,32.86,31.00,
11/26/2017  3:03: PM,,1001,,,,172,101,,,100101,CC,0.00,30.00,,1.80,0.00,0.00,0.00,0.00,0.00,,31.80,30.00,
11/26/2017  3:49: PM,,1001,,,,173,101,,,100101,CC,0.00,40.00,,2.40,0.00,0.00,0.00,0.00,0.00,,42.40,40.00,
11/26/2017  3:54: PM,,1001,,,,174,101,,,100101,CC,0.00,90.00,,5.40,0.00,0.00,0.00,0.00,0.00,,95.40,90.00,
11/26/2017  4:08: PM,,1001,,,,175,101,,,100101,CC,0.00,36.00,,2.16,0.00,0.00,0.00,0.00,0.00,,38.16,36.00,
11/26/2017  4:09: PM,,1001,,,,176,101,,,100101,CC,0.00,30.00,,1.80,0.00,0.00,0.00,0.00,0.00,,31.80,30.00,
11/26/2017  4:17: PM,,1001,,,,177,101,,,100101,CA,0.00,11.00,,0.66,0.00,0.00,0.00,0.00,0.00,,11.66,11.00,
11/26/2017  5:03: PM,,1001,,,,178,101,,,100101,CC,0.00,40.00,,2.40,0.00,0.00,0.00,0.00,0.00,,42.40,40.00,
11/26/2017  5:13: PM,,1001,,,,179,101,,,100101,CC,0.00,52.44,,3.15,0.00,0.00,0.00,0.00,0.00,,55.59,52.44,
11/26/2017  5:51: PM,,1001,,,,180,101,,,100101,CC,0.00,16.00,,0.96,0.00,0.00,0.00,0.00,0.00,,16.96,16.00,
