candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"2,286","6,661",525,"9,472",86.0%,12,Garrett
Ben  Jealous and Susan  Turnbull,468,755,172,"1,395",12.7%,12,Garrett
Shawn  Quinn and Christina  Smith,15,66,5,86,0.8%,12,Garrett
Ian  Schlakman and Annie  Chambers,11,35,2,48,0.4%,12,Garrett
Other Write-Ins,3,4,0,7,0.1%,12,Garrett
