candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"14,590","54,499","3,471","72,560",67.7%,11,Frederick
Ben  Jealous and Susan  Turnbull,"8,871","21,422","3,062","33,355",31.1%,11,Frederick
Shawn  Quinn and Christina  Smith,119,576,51,746,0.7%,11,Frederick
Ian  Schlakman and Annie  Chambers,101,350,48,499,0.5%,11,Frederick
Other Write-Ins,9,47,3,59,0.1%,11,Frederick
