candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"5,831","20,340",892,"27,063",77.5%,08,Cecil
Ben  Jealous and Susan  Turnbull,"1,887","5,024",443,"7,354",21.0%,08,Cecil
Shawn  Quinn and Christina  Smith,60,277,16,353,1.0%,08,Cecil
Ian  Schlakman and Annie  Chambers,25,116,13,154,0.4%,08,Cecil
Other Write-Ins,3,12,0,15,0.0%,08,Cecil
