candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"2,132","6,589",484,"9,205",74.4%,10,Dorchester
Ben  Jealous and Susan  Turnbull,849,"1,995",199,"3,043",24.6%,10,Dorchester
Shawn  Quinn and Christina  Smith,13,52,7,72,0.6%,10,Dorchester
Ian  Schlakman and Annie  Chambers,12,23,4,39,0.3%,10,Dorchester
Other Write-Ins,3,4,1,8,0.1%,10,Dorchester
