candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"5,057","11,868","1,151","18,076",76.1%,24,Worcester
Ben  Jealous and Susan  Turnbull,"1,572","3,477",388,"5,437",22.9%,24,Worcester
Shawn  Quinn and Christina  Smith,25,111,12,148,0.6%,24,Worcester
Ian  Schlakman and Annie  Chambers,16,59,7,82,0.3%,24,Worcester
Other Write-Ins,6,5,1,12,0.1%,24,Worcester
