candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"45,210","116,654","18,154","180,018",44.1%,16,Montgomery
Ben  Jealous and Susan  Turnbull,"67,582","130,108","26,339","224,029",54.9%,16,Montgomery
Shawn  Quinn and Christina  Smith,324,"1,352",246,"1,922",0.5%,16,Montgomery
Ian  Schlakman and Annie  Chambers,520,"1,294",296,"2,110",0.5%,16,Montgomery
Other Write-Ins,124,187,38,349,0.1%,16,Montgomery
