candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"6,328","30,286","2,151","38,765",76.8%,22,Washington
Ben  Jealous and Susan  Turnbull,"2,239","7,372","1,283","10,894",21.6%,22,Washington
Shawn  Quinn and Christina  Smith,50,397,44,491,1.0%,22,Washington
Ian  Schlakman and Annie  Chambers,37,195,36,268,0.5%,22,Washington
Other Write-Ins,8,34,1,43,0.1%,22,Washington
