candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"1,998","4,066",306,"6,370",73.3%,15,Kent
Ben  Jealous and Susan  Turnbull,941,"1,118",163,"2,222",25.6%,15,Kent
Shawn  Quinn and Christina  Smith,12,28,3,43,0.5%,15,Kent
Ian  Schlakman and Annie  Chambers,21,34,2,57,0.7%,15,Kent
Other Write-Ins,0,2,0,2,0.0%,15,Kent
