candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"6,475","6,881",725,"14,081",77.4%,21,Talbot
Ben  Jealous and Susan  Turnbull,"1,912","1,725",320,"3,957",21.8%,21,Talbot
Shawn  Quinn and Christina  Smith,22,51,6,79,0.4%,21,Talbot
Ian  Schlakman and Annie  Chambers,33,29,4,66,0.4%,21,Talbot
Other Write-Ins,3,4,0,7,0.0%,21,Talbot
