candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"14,937","39,208","4,215","58,360",31.6%,03,Baltimore City
Ben  Jealous and Susan  Turnbull,"32,098","81,160","10,351","123,609",66.9%,03,Baltimore City
Shawn  Quinn and Christina  Smith,236,717,102,"1,055",0.6%,03,Baltimore City
Ian  Schlakman and Annie  Chambers,358,"1,005",128,"1,491",0.8%,03,Baltimore City
Other Write-Ins,41,119,16,176,0.1%,03,Baltimore City
