id,county
1,Allegany
2,Anne Arundel
3,Baltimore City
4,Baltimore
5,Calvert
6,Caroline
7,Carroll
8,Cecil
9,Charles
10,Dorchester
11,Frederick
12,Garrett
13,Harford
14,Howard
15,Kent
16,Montgomery
17,Prince George's
18,Queen Anne's
19,St. Mary's
20,Somerset
21,Talbot
22,Washington
23,Wicomico
24,Worcester
