candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"30,853","53,012","6,060","89,925",28.2%,17,Prince George's
Ben  Jealous and Susan  Turnbull,"70,630","139,665","15,594","225,889",70.8%,17,Prince George's
Shawn  Quinn and Christina  Smith,323,"1,018",128,"1,469",0.5%,17,Prince George's
Ian  Schlakman and Annie  Chambers,437,888,98,"1,423",0.4%,17,Prince George's
Other Write-Ins,112,146,21,279,0.1%,17,Prince George's
