LEGISLATIVE_CODE,Polls,EV,ABS,PROV,Eligible Voters,Percentage Turnout
36,113,21,3,6,369,38.8%
37A,15,1,1,2,85,22.4%
37B,86,11,3,4,237,43.9%
38A,22,5,0,0,63,42.9%
38B,28,10,1,4,115,37.4%
38C,49,13,5,0,154,43.5%
39,66,10,3,5,296,28.4%
40,42,6,3,2,189,28.0%
41,39,8,1,0,151,31.8%
42A,55,6,2,3,147,44.9%
42B,107,13,3,3,297,42.4%
43,39,5,2,2,179,26.8%
44A,14,0,0,1,34,44.1%
44B,61,11,0,0,171,42.1%
45,33,8,0,2,163,26.4%
46,112,11,2,6,378,34.7%
47A,15,0,3,1,86,22.1%
47B,7,0,0,1,28,28.6%
Unable to Determine,0,0,0,5,,
01A,6,1,0,1,40,20.0%
01B,16,1,3,0,68,29.4%
01C,8,0,0,1,71,12.7%
02A,34,3,3,1,141,29.1%
02B,19,0,1,0,72,27.8%
03A,63,8,1,4,165,46.1%
03B,24,3,2,1,59,50.8%
4,60,3,2,0,184,35.3%
5,59,5,1,0,206,31.6%
6,41,6,0,1,158,30.4%
7,38,7,3,0,158,30.4%
8,63,7,2,2,210,35.2%
09A,51,5,3,1,155,38.7%
09B,17,6,1,0,76,31.6%
10,25,3,1,1,132,22.7%
11,41,5,2,2,150,33.3%
12,64,10,1,2,211,36.5%
13,59,11,4,1,197,38.1%
14,38,3,5,0,198,23.2%
15,36,3,6,3,162,29.6%
16,45,2,6,2,173,31.8%
17,40,12,6,3,193,31.6%
18,53,11,5,0,220,31.4%
19,37,7,4,1,155,31.6%
20,99,20,7,8,347,38.6%
21,28,7,1,0,159,22.6%
22,67,10,4,5,202,42.6%
23A,7,0,0,0,33,21.2%
23B,14,3,1,0,68,26.5%
24,12,2,1,1,64,25.0%
25,11,1,1,0,52,25.0%
26,14,1,0,2,69,24.6%
27A,6,1,1,0,31,25.8%
27B,9,2,1,0,44,27.3%
27C,24,2,0,1,65,41.5%
28,25,2,2,1,107,28.0%
29A,8,1,0,1,47,21.3%
29B,17,1,1,2,53,39.6%
29C,26,2,3,0,66,47.0%
30A,46,5,1,2,139,38.8%
30B,20,12,0,1,74,44.6%
31A,10,0,0,1,46,23.9%
31B,31,3,2,1,120,30.8%
32,40,3,2,2,174,27.0%
33,59,15,3,5,239,34.3%
34A,29,2,0,4,107,32.7%
34B,12,8,0,1,65,32.3%
35A,5,1,0,0,51,11.8%
35B,22,3,3,1,107,27.1%
36,28,4,2,1,156,22.4%
37A,7,1,0,1,39,23.1%
37B,14,5,2,4,95,26.3%
38A,5,3,0,1,31,29.0%
38B,6,1,0,0,55,12.7%
38C,12,6,1,0,69,27.5%
39,39,1,2,1,154,27.9%
40,73,4,1,6,266,31.6%
41,27,8,1,1,133,27.8%
42A,39,4,2,1,114,40.4%
42B,65,15,3,4,195,44.6%
43,112,17,1,6,393,34.6%
44A,4,0,1,0,35,14.3%
44B,49,6,1,1,141,40.4%
45,51,6,2,3,203,30.5%
46,38,6,1,2,185,25.4%
47A,20,2,0,1,72,31.9%
47B,5,1,0,0,26,23.1%
01A,91,13,8,2,245,46.5%
01B,85,5,7,3,198,50.5%
01C,68,12,7,0,167,52.1%
02A,77,14,12,1,203,51.2%
02B,27,3,4,0,82,41.5%
03A,28,4,10,0,63,66.7%
03B,10,1,3,0,32,43.8%
4,81,3,7,1,184,50.0%
5,217,51,21,5,650,45.2%
6,196,58,17,5,598,46.2%
7,325,79,15,7,775,55.0%
8,289,77,16,1,704,54.4%
09A,243,66,31,8,731,47.6%
09B,101,36,7,2,315,46.3%
10,200,80,22,1,566,53.5%
11,268,76,37,11,752,52.1%
12,303,93,42,9,815,54.8%
13,284,68,34,13,861,46.3%
14,121,17,23,3,435,37.7%
15,140,13,93,14,614,42.3%
16,180,11,76,3,660,40.9%
17,123,20,41,3,482,38.8%
18,96,27,34,4,399,40.4%
19,103,20,43,1,439,38.0%
20,59,23,24,6,369,30.4%
21,413,82,13,9,"2,015",25.7%
22,455,58,11,9,"2,035",26.2%
23A,218,60,6,3,876,32.8%
23B,391,126,10,6,"1,508",35.3%
24,271,72,17,3,"2,055",17.7%
25,271,69,9,8,"1,772",20.1%
26,348,89,20,6,"2,141",21.6%
27A,115,24,4,1,550,26.2%
27B,147,39,8,5,548,36.3%
27C,87,26,5,1,227,52.4%
28,160,19,8,5,446,43.0%
29A,88,8,6,4,200,53.0%
29B,57,10,1,0,152,44.7%
29C,84,10,4,0,195,50.3%
30A,20,5,1,3,51,56.9%
30B,4,0,0,2,18,33.3%
31A,9,2,0,1,28,42.9%
31B,20,2,3,0,55,45.5%
32,21,9,1,4,90,38.9%
33,14,8,2,2,60,43.3%
34A,117,38,15,6,343,51.3%
34B,72,33,12,6,227,54.2%
35A,102,22,5,4,290,45.9%
35B,173,34,9,4,457,48.1%
36,255,71,13,0,672,50.4%
37A,39,10,3,2,139,38.8%
37B,172,56,11,2,487,49.5%
38A,41,20,3,0,150,42.7%
38B,68,23,7,0,224,43.8%
38C,154,38,9,3,368,55.4%
39,92,20,24,5,442,31.9%
40,54,7,8,2,246,28.9%
41,50,15,3,2,232,30.2%
42A,115,30,17,6,315,53.3%
42B,341,72,27,4,728,61.0%
43,56,14,5,4,253,31.2%
44A,13,6,2,2,72,31.9%
44B,144,64,16,1,396,56.8%
45,49,10,2,1,235,26.4%
46,63,7,4,7,328,24.7%
47A,186,20,7,6,"1,088",20.1%
47B,65,2,1,2,417,16.8%
01A,789,75,31,20,"3,310",27.6%
01B,975,67,23,28,"3,447",31.7%
01C,"1,070",62,18,15,"4,297",27.1%
02A,"2,944",223,63,67,"10,986",30.0%
02B,824,69,18,24,"4,894",19.1%
03A,"3,265",573,84,81,"10,907",36.7%
03B,"1,968",214,50,38,"5,944",38.2%
4,"6,605",707,136,113,"18,770",40.3%
5,"5,398",617,106,92,"15,788",39.4%
6,"3,074",536,35,102,"12,813",29.2%
7,"5,172",888,67,113,"15,392",40.5%
8,"3,851",583,64,94,"13,053",35.2%
09A,"4,665",715,113,96,"13,256",42.2%
09B,"1,898",546,50,45,"6,323",40.2%
10,"2,558",655,65,74,"10,413",32.2%
11,"3,429",523,105,81,"12,338",33.5%
12,"4,552",821,91,138,"14,972",37.4%
13,"5,846",917,104,164,"18,065",38.9%
14,"4,834",771,169,125,"19,208",30.7%
15,"5,266",553,381,171,"22,259",28.6%
16,"6,081",406,362,170,"21,654",32.4%
17,"4,400",568,198,185,"20,071",26.7%
18,"4,162",475,212,172,"16,448",30.5%
19,"4,049",596,197,120,"16,232",30.6%
20,"3,157",546,144,171,"14,103",28.5%
21,"2,851",601,111,291,"14,287",27.0%
22,"1,815",174,89,77,"8,584",25.1%
23A,821,171,32,45,"3,554",30.1%
23B,"1,635",408,77,88,"6,707",32.9%
24,"1,259",253,61,63,"7,050",23.2%
25,"1,150",230,37,57,"6,275",23.5%
26,"1,338",249,61,55,"6,990",24.4%
27A,990,134,31,28,"3,938",30.0%
27B,"1,484",188,48,49,"4,704",37.6%
27C,"2,000",316,49,36,"5,917",40.6%
28,"4,072",554,100,98,"14,283",33.8%
29A,"1,506",193,31,47,"5,029",35.3%
29B,"1,435",152,41,36,"4,887",34.0%
29C,"1,908",219,70,36,"5,641",39.6%
30A,"3,518",930,185,114,"11,087",42.8%
30B,"1,777",503,71,67,"6,207",39.0%
31A,"1,052",226,23,68,"4,742",28.9%
31B,"3,748",611,71,114,"12,160",37.4%
32,"3,960",782,135,148,"16,253",30.9%
33,"6,720","1,506",223,185,"20,679",41.8%
34A,"2,616",550,38,96,"9,504",34.7%
34B,"1,880",410,29,64,"5,587",42.7%
35A,"1,340",192,25,28,"5,600",28.3%
35B,"3,604",570,46,89,"10,827",39.8%
36,"4,298",999,125,74,"15,164",36.2%
37A,528,103,33,24,"3,167",21.7%
37B,"2,807",742,95,63,"9,424",39.3%
38A,864,142,29,19,"3,157",33.4%
38B,"1,042",233,46,33,"4,379",30.9%
38C,"1,783",322,75,32,"5,847",37.8%
39,"4,001",551,137,134,"18,373",26.3%
40,"1,518",171,40,84,"8,084",22.4%
41,"1,562",274,61,57,"7,354",26.6%
42A,"1,356",182,40,69,"4,115",40.0%
42B,"3,603",404,99,73,"10,087",41.4%
43,"1,724",280,42,88,"8,528",25.0%
44A,317,57,8,30,"1,957",21.1%
44B,"1,881",456,44,53,"7,326",33.2%
45,"1,406",206,38,57,"7,183",23.8%
46,"2,656",273,54,153,"12,992",24.1%
47A,782,92,20,42,"4,189",22.3%
47B,285,15,16,16,"1,667",19.9%
